Gustave Courbet,Tintoretto,Hieronymus Bosch,Gerhard Richter,Lucio Fontana,Salvador Dali,Frida Kahlo,J. M. W. Turner,Max Ernst,Piet Mondrian,Claude Lorrain,Eugene Delacroix,Georges de La Tour,Frans Hals,Michelangelo,David Hockney,Rene Magritte,El Greco,Duccio,William Hogarth,Theodore Gericault,Raphael,Claude Monet,Egon Schiele,Andy Warhol,Caravaggio,Andrea Mantegna,Edward Hopper,Arshile Gorky,Francis Bacon (artist),Leonardo da Vinci,Wassily Kandinsky,Willem de Kooning,Georges Seurat,Marc Chagall,John Constable,James Abbott McNeill Whistler,James Ensor,Hans Memling,Hans Holbein the Younger,Georges Braque,Edvard Munch,Jean-Michel Basquiat,Rembrandt,Dante Gabriel Rossetti,Albrecht Durer,Jan van Eyck,Giorgione,Umberto Boccioni,Jacques-Louis David,Vincent van Gogh,Caspar David Friedrich,Diego Velazquez,Sandro Botticelli,Nicolas Poussin,Peter Paul Rubens,Mark Rothko,Paolo Uccello,Gustave Moreau,Johannes Vermeer,Jean-Antoine Watteau,Jean-Auguste-Dominique Ingres,Paul Gauguin,Frederic Edwin Church,Roy Lichtenstein,Artemisia Gentileschi,Francisco Goya,Marcel Duchamp,Georgia O'Keeffe,Gustav Klimt,Pieter Bruegel the Elder,Masaccio,Joan Miro,Cimabue,Simone Martini,Kazimir Malevich,Paul Cezanne,Winslow Homer,El Lissitzky,Jean-Francois Millet,Fernand Leger,Edouard Manet,Edgar Degas,Titian,Piero della Francesca,Joachim Patinir,Jasper Johns,Paul Klee,Francisco de Zurbaran,Jackson Pollock,Giotto,Rogier van der Weyden,Amedeo Modigliani,Henri Matisse,Pablo Picasso,Fra Angelico,Pierre-Auguste Renoir,Franz Marc,Jean-Baptiste-Camille Corot,William Blake,Giorgio de Chirico
0.502938,0.72693,0.417395,0.411285,0.586257,0.295112,0.095371,0.664514,0.287999,0.301527,1.0,0.641784,0.683377,0.132991,0.354946,0.553874,0.415172,0.48132,0.468254,0.56517,0.651666,0.423292,0.583423,0.390924,0.394704,0.548501,0.642652,0.487224,0.34413,0.400522,0.508263,0.338268,0.371339,0.470947,0.327257,0.729594,0.51757,0.467424,0.44531,0.146008,0.248126,0.342931,0.431027,0.21347,0.47876,0.396773,0.32315,0.705522,0.479328,0.590331,0.199056,0.453678,0.687615,0.377584,0.779758,0.586973,0.421187,0.451878,0.460437,0.328021,0.602539,0.520919,0.279606,0.304747,0.484822,0.609397,0.517716,0.273923,0.37701,0.370632,0.470663,0.399914,0.364497,0.396909,0.4566,0.244584,0.487254,0.50175,0.2064,0.495544,0.289979,0.548492,0.560671,0.710317,0.405387,0.609922,0.426372,0.28923,0.661713,0.373829,0.276113,0.325083,0.34373,0.33765,0.23098,0.415662,0.610156,0.240271,0.673476,0.490978,0.420942
0.808217,0.601425,0.498228,0.510248,0.459734,0.461906,0.308705,0.552177,0.468699,0.475054,0.641784,1.0,0.746781,0.204565,0.392403,0.465608,0.616109,0.6504,0.230613,0.584703,0.955414,0.49268,0.65518,0.524901,0.454297,0.43944,0.381296,0.605717,0.433634,0.475881,0.499431,0.503551,0.38502,0.692194,0.63821,0.605339,0.628211,0.531107,0.305932,0.392124,0.54911,0.605661,0.555674,0.304653,0.549366,0.483626,0.316478,0.507085,0.377307,0.845686,0.372571,0.603552,0.700397,0.321951,0.750038,0.547436,0.465325,0.303474,0.718386,0.436206,0.705988,0.849878,0.571934,0.401269,0.454145,0.51142,0.729512,0.517571,0.459421,0.481702,0.425277,0.223011,0.553178,0.222975,0.221059,0.296178,0.760826,0.622455,0.353228,0.798151,0.593758,0.81389,0.782044,0.554848,0.211023,0.445034,0.444075,0.440957,0.569248,0.405451,0.209727,0.289958,0.640347,0.636301,0.500802,0.29892,0.756108,0.353526,0.853644,0.647882,0.548261
0.643963,0.486665,0.458785,0.414764,0.522421,0.461577,0.319005,0.37489,0.481899,0.276417,0.683377,0.746781,1.0,0.21415,0.229031,0.515815,0.58401,0.558048,0.245051,0.37123,0.704305,0.29081,0.484766,0.374956,0.399371,0.552344,0.368216,0.448842,0.352627,0.433877,0.325821,0.263355,0.372915,0.586394,0.485395,0.393982,0.368856,0.648843,0.411623,0.278846,0.524365,0.389658,0.498245,0.365597,0.286922,0.375011,0.340389,0.443469,0.376204,0.678153,0.24124,0.318715,0.629702,0.209694,0.732107,0.51738,0.360215,0.236614,0.736688,0.416682,0.516086,0.64782,0.408573,0.187507,0.476371,0.493857,0.627767,0.462703,0.368044,0.382224,0.455261,0.198294,0.54011,0.189953,0.289387,0.249791,0.572035,0.402138,0.267532,0.63472,0.529111,0.651275,0.625804,0.465984,0.204001,0.562835,0.436543,0.309287,0.6605,0.33695,0.134185,0.390907,0.510604,0.590809,0.523442,0.232089,0.630323,0.248295,0.639822,0.365376,0.515897
0.237811,0.226537,0.359946,0.188419,0.199715,0.128628,0.0750876,0.194807,0.149197,0.210392,0.132991,0.204565,0.21415,1.0,0.0984392,0.158536,0.20099,0.205519,0.140966,0.171035,0.212289,0.149213,0.128163,0.200299,0.15968,0.0424369,0.18325,0.225221,0.242955,0.237556,0.198408,0.188565,0.217738,0.144286,0.195574,0.189768,0.252578,0.230376,0.173159,0.181353,0.132001,0.260929,0.172769,0.261174,0.215871,0.250217,0.233698,0.2293,0.13868,0.227656,0.268744,0.180103,0.147467,0.137761,0.17607,0.216222,0.208346,0.115211,0.151546,0.29736,0.179043,0.177941,0.152275,0.03489,0.195677,0.169179,0.168868,0.129193,0.127961,0.187883,0.291754,0.0943317,0.184085,0.125108,0.150159,0.134298,0.160298,0.217811,0.141936,0.219897,0.145143,0.269042,0.267754,0.214896,0.102838,0.251751,0.213423,0.171384,0.129911,0.170566,0.0945221,0.264251,0.201695,0.150776,0.134053,0.101532,0.127541,0.155654,0.213458,0.195105,0.151291
0.239517,0.691177,0.360182,0.357297,0.365301,0.279092,0.230305,0.257944,0.241353,0.319966,0.354946,0.392403,0.229031,0.0984392,1.0,0.247355,0.228031,0.596632,0.707402,0.326272,0.436685,0.903199,0.0861691,0.278853,0.322861,0.386262,0.722356,0.293758,0.202616,0.268267,0.896295,0.311517,0.168557,0.14692,0.40521,0.240302,0.245643,0.221711,0.256804,0.294191,0.207297,0.380227,0.355504,0.125745,0.430237,0.50726,0.261845,0.562616,0.315585,0.381047,0.12867,0.347031,0.395726,0.883891,0.458312,0.441466,0.312963,0.899594,0.142342,0.269713,0.261597,0.427847,0.224819,0.385744,0.263063,0.530255,0.489048,0.265829,0.286008,0.319065,0.298982,0.82001,0.178907,0.839241,0.735533,0.173539,0.225174,0.294218,0.30791,0.222458,0.312603,0.233544,0.294914,0.671081,0.83638,0.269434,0.287951,0.270704,0.440415,0.204384,0.858435,0.0992441,0.340034,0.210295,0.220512,0.894628,0.217764,0.107727,0.292426,0.454711,0.518039
0.361432,0.485829,0.423702,0.657074,0.688901,0.648834,0.2588,0.725383,0.630773,0.442419,0.553874,0.465608,0.515815,0.158536,0.247355,1.0,0.729324,0.45849,0.272411,0.731528,0.500162,0.323362,0.298798,0.582015,0.788151,0.275839,0.353003,0.63405,0.541586,0.591997,0.394339,0.492987,0.530583,0.328861,0.601261,0.688416,0.598307,0.710888,0.25258,0.356263,0.403366,0.554357,0.759963,0.26437,0.638896,0.461816,0.207818,0.467469,0.483548,0.578961,0.229661,0.409646,0.571551,0.303193,0.544579,0.515075,0.500905,0.216856,0.311753,0.327245,0.377124,0.372846,0.415297,0.292476,0.837418,0.440212,0.644118,0.561922,0.585547,0.57671,0.511762,0.158441,0.608239,0.202631,0.171667,0.459624,0.412458,0.559458,0.530406,0.323632,0.510384,0.386928,0.499109,0.498674,0.167312,0.479758,0.81688,0.45955,0.529971,0.485324,0.128983,0.208451,0.413058,0.469726,0.492725,0.204961,0.398427,0.367166,0.3945,0.703433,0.521083
0.595423,0.49904,0.622305,0.733807,0.699654,0.805372,0.316518,0.455958,0.837181,0.621847,0.415172,0.616109,0.58401,0.20099,0.228031,0.729324,1.0,0.676166,0.247421,0.546224,0.609238,0.317683,0.361492,0.666486,0.871413,0.30665,0.316602,0.67749,0.581964,0.498917,0.445938,0.693546,0.51669,0.544923,0.780627,0.435286,0.561274,0.732453,0.316126,0.366189,0.73714,0.724514,0.834959,0.22467,0.506282,0.573223,0.3671,0.497517,0.628846,0.626177,0.372348,0.540287,0.545092,0.278543,0.580193,0.471645,0.569766,0.18142,0.493186,0.498092,0.372245,0.48815,0.598316,0.145508,0.798725,0.47074,0.706402,0.822978,0.521385,0.61803,0.4918,0.133986,0.847988,0.179989,0.154457,0.487302,0.664329,0.585136,0.625276,0.461702,0.768919,0.604146,0.713125,0.466492,0.1627,0.486289,0.776076,0.68988,0.479074,0.525487,0.111782,0.362359,0.720918,0.710409,0.76718,0.181465,0.54484,0.580543,0.573119,0.688133,0.735008
0.555137,0.743373,0.748384,0.611736,0.638283,0.696104,0.606016,0.427545,0.576777,0.568547,0.48132,0.6504,0.558048,0.205519,0.596632,0.45849,0.676166,1.0,0.529554,0.508022,0.639192,0.609733,0.253901,0.542939,0.565402,0.561145,0.613923,0.617545,0.490729,0.508494,0.702564,0.603259,0.433654,0.416597,0.725832,0.398406,0.434439,0.500235,0.496583,0.52964,0.603144,0.636379,0.581505,0.291764,0.548161,0.694243,0.537164,0.701418,0.580988,0.651951,0.32345,0.586812,0.774275,0.549581,0.579487,0.568835,0.579136,0.5526,0.329763,0.486265,0.305802,0.569478,0.500207,0.319112,0.539862,0.715345,0.819847,0.544324,0.521298,0.510691,0.515414,0.532463,0.768186,0.495874,0.463965,0.372276,0.576095,0.521323,0.528388,0.319446,0.614952,0.540456,0.660345,0.712344,0.523818,0.572214,0.505667,0.520043,0.759797,0.493919,0.469804,0.444383,0.687902,0.562093,0.679287,0.571796,0.420919,0.377494,0.524387,0.660738,0.703721
0.151339,0.708127,0.45624,0.342831,0.429502,0.188914,0.0880095,0.337358,0.217134,0.241234,0.468254,0.230613,0.245051,0.140966,0.707402,0.27241,0.247421,0.529554,1.0,0.280621,0.251693,0.627315,0.0976224,0.23452,0.261702,0.279658,0.915164,0.307751,0.264393,0.322452,0.76922,0.272454,0.200292,0.177014,0.319608,0.296044,0.2724,0.26633,0.610366,0.293286,0.180479,0.305925,0.300372,0.100257,0.360792,0.553317,0.481185,0.750653,0.390249,0.249376,0.0910084,0.287469,0.450291,0.819548,0.359604,0.339685,0.30636,0.84254,0.14458,0.22466,0.0943313,0.166708,0.111703,0.252034,0.291147,0.508162,0.324248,0.218533,0.251171,0.25599,0.26748,0.912422,0.179835,0.878051,0.903355,0.211351,0.209707,0.263137,0.266277,0.129283,0.220176,0.195598,0.2776,0.705152,0.91743,0.416401,0.243974,0.296822,0.440112,0.183623,0.82604,0.407455,0.311788,0.170441,0.138929,0.900014,0.241973,0.199944,0.244209,0.303743,0.436779
0.433447,0.597927,0.466673,0.518568,0.449637,0.571074,0.288026,0.848111,0.47227,0.348925,0.56517,0.584703,0.37123,0.171035,0.326272,0.731528,0.546224,0.508022,0.280621,1.0,0.580876,0.425051,0.359067,0.553769,0.620021,0.342101,0.40323,0.649912,0.442701,0.662802,0.486063,0.423249,0.390745,0.239258,0.557194,0.852279,0.766768,0.460726,0.243739,0.522449,0.246414,0.568933,0.606699,0.235554,0.859216,0.559946,0.274373,0.53376,0.360227,0.609269,0.297995,0.550778,0.654471,0.36428,0.509858,0.495127,0.428373,0.289409,0.201615,0.440371,0.388669,0.457383,0.409194,0.342354,0.610893,0.572262,0.649602,0.398752,0.524583,0.509188,0.41673,0.224869,0.455774,0.266815,0.210713,0.314342,0.406332,0.621439,0.414673,0.351766,0.337521,0.438623,0.508523,0.589347,0.197608,0.367183,0.600312,0.371732,0.490525,0.379698,0.230608,0.203177,0.486581,0.367508,0.373145,0.278005,0.439445,0.336368,0.47603,0.891553,0.46117
